测试套/软件包名,测试用例名,状态,日志文件,原因
,oe_test_firewalld_richrule_allowippak,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/firewalld/oe_test_firewalld_richrule_allowippak/2023-05-26-15:58:40.log,测试套问题，没有安装测试对象 firewalld 软件包， x86 和 riscv 原因一致
,oe_test_firewalld_richrule_blacklist,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/firewalld/oe_test_firewalld_richrule_blacklist/2023-05-26-16:01:06.log,测试套问题，没有安装测试对象 firewalld 软件包， x86 和 riscv 原因一致
,oe_test_firewalld_richrule_dropicmppack,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/firewalld/oe_test_firewalld_richrule_dropicmppack/2023-05-26-16:01:47.log,测试套问题，没有安装测试对象 firewalld 软件包， x86 和 riscv 原因一致
,oe_test_firewalld_richrule_dropipv4pak,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/firewalld/oe_test_firewalld_richrule_dropipv4pak/2023-05-26-16:02:18.log,测试套问题，没有安装测试对象 firewalld 软件包， x86 和 riscv 原因一致
,oe_test_firewalld_richrule_forwardport,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/firewalld/oe_test_firewalld_richrule_forwardport/2023-05-26-16:04:47.log,测试套问题，没有安装测试对象 firewalld 软件包， x86 和 riscv 原因一致
,oe_test_firewalld_runtime_permanent,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/firewalld/oe_test_firewalld_runtime_permanent/2023-05-26-16:07:05.log,测试套问题，没有安装测试对象 firewalld 软件包， x86 和 riscv 原因一致
,oe_test_firewalld_set_defaultzone,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/firewalld/oe_test_firewalld_set_defaultzone/2023-05-26-16:07:32.log,测试套问题，没有安装测试对象 firewalld 软件包， x86 和 riscv 原因一致
,oe_test_firewalld_set_ipset,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/firewalld/oe_test_firewalld_set_ipset/2023-05-26-16:09:56.log,测试套问题，没有安装测试对象 firewalld 软件包， x86 和 riscv 原因一致
,oe_test_firewalld_set_target,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/firewalld/oe_test_firewalld_set_target/2023-05-26-16:12:51.log,测试套问题，没有安装测试对象 firewalld 软件包， x86 和 riscv 原因一致
,oe_test_firewalld_start_check,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/firewalld/oe_test_firewalld_start_check/2023-05-26-16:13:20.log,测试套问题，没有安装测试对象 firewalld 软件包， x86 和 riscv 原因一致
