测试套/软件包名,测试用例名,状态,日志文件,原因,x86 日志文件,x86 原因
rubygem-fluentd_1.14.5,oe_test_fluentd_01,x86 fail,./riscv/logs_failed/rubygem-fluentd_1.14.5/oe_test_fluentd_01/2023-06-25-12_56_07.log,"Broken testcase
timeout
",./x86/logs_failed/rubygem-fluentd_1.14.5/oe_test_fluentd_01/2023-06-28-13_40_32.log,unknown
rubygem-fluentd_1.14.5,oe_test_fluent_cat_02,x86 fail,./riscv/logs_failed/rubygem-fluentd_1.14.5/oe_test_fluent_cat_02/2023-06-25-12_43_28.log,unknown,./x86/logs_failed/rubygem-fluentd_1.14.5/oe_test_fluent_cat_02/2023-06-28-13_38_16.log,unknown
rubygem-fluentd_1.14.5,oe_test_fluent_gem_02,fail,./riscv/logs_failed/rubygem-fluentd_1.14.5/oe_test_fluent_gem_02/2023-06-25-13_50_12.log,"timeout
",,
rubygem-fluentd_1.14.5,oe_test_fluent_debug,fail,./riscv/logs_failed/rubygem-fluentd_1.14.5/oe_test_fluent_debug/2023-06-25-13_38_53.log,unknown,,
rubygem-fluentd_1.14.5,oe_test_fluentd_02,fail,./riscv/logs_failed/rubygem-fluentd_1.14.5/oe_test_fluentd_02/2023-06-25-13_26_28.log,"file missing
",,
xmvn_3.0.0-24,oe_test_xmvn_base_mvn-local_08,success,./riscv/logs/xmvn_3.0.0-24/oe_test_xmvn_base_mvn-local_08/2023-06-25-16_42_44.log,,,
xmvn_3.0.0-24,oe_test_xmvn_3.0.0-24_mvn-local,success,./riscv/logs/xmvn_3.0.0-24/oe_test_xmvn_3.0.0-24_mvn-local/2023-06-25-15_22_05.log,,,
xmvn_3.0.0-24,oe_test_xmvn_base_mvn-local_01,fail,./riscv/logs_failed/xmvn_3.0.0-24/oe_test_xmvn_base_mvn-local_01/2023-06-25-14_15_31.log,"timeout
",,
xmvn_3.0.0-24,oe_test_xmvn_base_mvn-local_02,fail,./riscv/logs_failed/xmvn_3.0.0-24/oe_test_xmvn_base_mvn-local_02/2023-06-25-14_45_45.log,"file missing
",,
xmvn_3.0.0-24,oe_test_xmvn_base_mvn-local_07,fail,./riscv/logs_failed/xmvn_3.0.0-24/oe_test_xmvn_base_mvn-local_07/2023-06-25-16_12_24.log,"timeout
",,
xmvn_3.0.0-24,oe_test_xmvn_base_mvn-local_05,fail,./riscv/logs_failed/xmvn_3.0.0-24/oe_test_xmvn_base_mvn-local_05/2023-06-25-15_36_34.log,"timeout
",,
xmvn_3.0.0-24,oe_test_xmvn_base_mvn-local_04,fail,./riscv/logs_failed/xmvn_3.0.0-24/oe_test_xmvn_base_mvn-local_04/2023-06-25-15_28_29.log,"file missing
",,
