测试套/软件包名,测试用例名,状态,日志文件,原因
cracklib,oe_test_cracklib,success,./mugen-riscv/logs/cracklib/oe_test_cracklib/2023-05-25-16_34_34.log,None
cronie,oe_test_cronie,success,./mugen-riscv/logs/cronie/oe_test_cronie/2023-05-25-16_36_40.log,None
,oe_test_service_crond,success,./mugen-riscv/logs/cronie/oe_test_service_crond/2023-05-25-16_35_32.log,None
cups-filters,oe_test_service_cups-browsed,success,./mugen-riscv/logs/cups-filters/oe_test_service_cups-browsed/2023-05-25-19:01:30.log,None
cups,oe_test_service_cups,success,./mugen-riscv/logs/cups/oe_test_service_cups/2023-05-25-18:44:49.log,None
,oe_test_socket_cups-lpd,success,./mugen-riscv/logs/cups/oe_test_socket_cups-lpd/2023-05-25-18:49:40.log,None
,oe_test_socket_cups,success,./mugen-riscv/logs/cups/oe_test_socket_cups/2023-05-25-18:54:22.log,None
cyrus-sasl,oe_test_service_saslauthd,success,./mugen-riscv/logs/cyrus-sasl/oe_test_service_saslauthd/2023-05-25-19:16:48.log,None
dbus,oe_test_service_dbus,success,./mugen-riscv/logs/dbus/oe_test_service_dbus/2023-05-25-16_41_39.log,None
,oe_test_socket_dbus,success,./mugen-riscv/logs/dbus/oe_test_socket_dbus/2023-05-25-16_42_37.log,None
discount,oe_test_discount-makepage_01,success,./mugen-riscv/logs/discount/oe_test_discount-makepage_01/2023-05-25-21:58:08.log,None
,oe_test_discount-mkd2html_01,success,./mugen-riscv/logs/discount/oe_test_discount-mkd2html_01/2023-05-25-21:59:46.log,None
,oe_test_discount-theme_01,success,./mugen-riscv/logs/discount/oe_test_discount-theme_01/2023-05-25-22:01:26.log,None
,oe_test_discount_markdown_01,success,./mugen-riscv/logs/discount/oe_test_discount_markdown_01/2023-05-25-21:54:33.log,None
,oe_test_discount_markdown_02,success,./mugen-riscv/logs/discount/oe_test_discount_markdown_02/2023-05-25-21:56:25.log,None
djvulibre,oe_test_djvulibre_01,success,./mugen-riscv/logs/djvulibre/oe_test_djvulibre_01/2023-05-25-22:05:47.log,None
,oe_test_djvulibre_02,success,./mugen-riscv/logs/djvulibre/oe_test_djvulibre_02/2023-05-25-22:11:01.log,None
,oe_test_djvulibre_03,success,./mugen-riscv/logs/djvulibre/oe_test_djvulibre_03/2023-05-25-22:15:59.log,None
,oe_test_djvulibre_04,success,./mugen-riscv/logs/djvulibre/oe_test_djvulibre_04/2023-05-25-22:18:13.log,None
,oe_test_djvulibre_05,success,./mugen-riscv/logs/djvulibre/oe_test_djvulibre_05/2023-05-25-22:20:17.log,None
dkms,oe_test_service_dkms,success,./mugen-riscv/logs/dkms/oe_test_service_dkms/2023-05-25-22:24:53.log,None
dnsmasq,oe_test_service_dnsmasq,success,./mugen-riscv/logs/dnsmasq/oe_test_service_dnsmasq/2023-05-25-22:34:07.log,None
docbook-utils,oe_test_docbook-utils_jw_01,success,./mugen-riscv/logs/docbook-utils/oe_test_docbook-utils_jw_01/2023-05-25-22:49:21.log,None
,oe_test_docbook-utils_jw_02,success,./mugen-riscv/logs/docbook-utils/oe_test_docbook-utils_jw_02/2023-05-25-22:53:32.log,None
,oe_test_docbook-utils_sgmldiff,success,./mugen-riscv/logs/docbook-utils/oe_test_docbook-utils_sgmldiff/2023-05-25-22:56:24.log,None
docbook2X,oe_test_docbook2X_db2x_docbook2man,success,./mugen-riscv/logs/docbook2X/oe_test_docbook2X_db2x_docbook2man/2023-05-25-23:20:42.log,None
,oe_test_docbook2X_db2x_docbook2texi_01,success,./mugen-riscv/logs/docbook2X/oe_test_docbook2X_db2x_docbook2texi_01/2023-05-25-23:23:32.log,None
,oe_test_docbook2X_db2x_docbook2texi_02,success,./mugen-riscv/logs/docbook2X/oe_test_docbook2X_db2x_docbook2texi_02/2023-05-25-23:26:21.log,None
,oe_test_docbook2X_db2x_manxml,success,./mugen-riscv/logs/docbook2X/oe_test_docbook2X_db2x_manxml/2023-05-25-23:01:54.log,None
,oe_test_docbook2X_db2x_texixml,success,./mugen-riscv/logs/docbook2X/oe_test_docbook2X_db2x_texixml/2023-05-25-23:04:38.log,None
,oe_test_docbook2X_db2x_xsltproc,success,./mugen-riscv/logs/docbook2X/oe_test_docbook2X_db2x_xsltproc/2023-05-25-23:07:07.log,None
,oe_test_docbook2X_sgml2xml-isoent_01,success,./mugen-riscv/logs/docbook2X/oe_test_docbook2X_sgml2xml-isoent_01/2023-05-25-23:09:33.log,None
,oe_test_docbook2X_sgml2xml-isoent_02,success,./mugen-riscv/logs/docbook2X/oe_test_docbook2X_sgml2xml-isoent_02/2023-05-25-23:11:45.log,None
,oe_test_docbook2X_sgml2xml-isoent_03,success,./mugen-riscv/logs/docbook2X/oe_test_docbook2X_sgml2xml-isoent_03/2023-05-25-23:14:00.log,None
,oe_test_docbook2X_sgml2xml-isoent_04,success,./mugen-riscv/logs/docbook2X/oe_test_docbook2X_sgml2xml-isoent_04/2023-05-25-23:16:14.log,None
,oe_test_docbook2X_utf8trans,success,./mugen-riscv/logs/docbook2X/oe_test_docbook2X_utf8trans/2023-05-25-23:18:33.log,None
dos2unix,oe_test_dos2unix,success,./mugen-riscv/logs/dos2unix/oe_test_dos2unix/2023-05-25-23:40:57.log,None
dovecot,oe_test_dovecot_basic,success,./mugen-riscv/logs/dovecot/oe_test_dovecot_basic/2023-05-25-23:58:57.log,None
,oe_test_dovecot_doveadm_1,success,./mugen-riscv/logs/dovecot/oe_test_dovecot_doveadm_1/2023-05-26-00:02:26.log,None
,oe_test_dovecot_doveadm_2,success,./mugen-riscv/logs/dovecot/oe_test_dovecot_doveadm_2/2023-05-26-00:05:43.log,None
,oe_test_dovecot_doveadm_3,success,./mugen-riscv/logs/dovecot/oe_test_dovecot_doveadm_3/2023-05-26-00:09:09.log,None
,oe_test_service_dovecot-init,success,./mugen-riscv/logs/dovecot/oe_test_service_dovecot-init/2023-05-25-23:46:44.log,None
,oe_test_service_dovecot,success,./mugen-riscv/logs/dovecot/oe_test_service_dovecot/2023-05-25-23:50:23.log,None
,oe_test_socket_dovecot,success,./mugen-riscv/logs/dovecot/oe_test_socket_dovecot/2023-05-25-23:55:14.log,None
doxygen,oe_test_doxygen,success,./mugen-riscv/logs/doxygen/oe_test_doxygen/2023-05-26-00:15:44.log,None
e2fsprogs,oe_test_service_e2scrub_all,success,./mugen-riscv/logs/e2fsprogs/oe_test_service_e2scrub_all/2023-05-25-16_44_42.log,None
,oe_test_service_e2scrub_reap,success,./mugen-riscv/logs/e2fsprogs/oe_test_service_e2scrub_reap/2023-05-25-16_45_06.log,None
elinks,oe_test_elinks_base_01,success,./mugen-riscv/logs/elinks/oe_test_elinks_base_01/2023-05-26-02:22:37.log,None
,oe_test_elinks_base_02,success,./mugen-riscv/logs/elinks/oe_test_elinks_base_02/2023-05-26-02:25:04.log,None
,oe_test_elinks_base_03,success,./mugen-riscv/logs/elinks/oe_test_elinks_base_03/2023-05-26-02:27:17.log,None
erlang,oe_test_service_epmd,success,./mugen-riscv/logs/erlang/oe_test_service_epmd/2023-05-26-02:32:37.log,None
,oe_test_socket_epmd,success,./mugen-riscv/logs/erlang/oe_test_socket_epmd/2023-05-26-02:36:33.log,None
fakechroot,oe_test_fakechroot_base_01,success,./mugen-riscv/logs/fakechroot/oe_test_fakechroot_base_01/2023-05-26-13:30:56.log,None
,oe_test_fakechroot_base_02,success,./mugen-riscv/logs/fakechroot/oe_test_fakechroot_base_02/2023-05-26-13:33:46.log,None
,oe_test_fakechroot_chroot,success,./mugen-riscv/logs/fakechroot/oe_test_fakechroot_chroot/2023-05-26-13:36:11.log,None
,oe_test_fakechroot_env_01,success,./mugen-riscv/logs/fakechroot/oe_test_fakechroot_env_01/2023-05-26-13:26:16.log,None
,oe_test_fakechroot_env_02,success,./mugen-riscv/logs/fakechroot/oe_test_fakechroot_env_02/2023-05-26-13:28:41.log,None
fakeroot,oe_test_fakeroot_base,success,./mugen-riscv/logs/fakeroot/oe_test_fakeroot_base/2023-05-26-13:41:21.log,None
,oe_test_fakeroot_faked,success,./mugen-riscv/logs/fakeroot/oe_test_fakeroot_faked/2023-05-26-13:43:27.log,None
flatpak,oe_test_service_flatpak-system-helper,success,./mugen-riscv/logs/flatpak/oe_test_service_flatpak-system-helper/2023-05-26-16:26:46.log,None
fontforge,oe_test_fontforge_fontforge,success,./mugen-riscv/logs/fontforge/oe_test_fontforge_fontforge/2023-05-26-16:34:07.log,None
,oe_test_fontforge_fontimage,success,./mugen-riscv/logs/fontforge/oe_test_fontforge_fontimage/2023-05-26-16:36:37.log,None
,oe_test_fontforge_fontlint,success,./mugen-riscv/logs/fontforge/oe_test_fontforge_fontlint/2023-05-26-16:39:00.log,None
fprintd,oe_test_service_fprintd,success,./mugen-riscv/logs/fprintd/oe_test_service_fprintd/2023-05-26-16:43:52.log,None
fwupd,oe_test_service_fwupd-offline-update,success,./mugen-riscv/logs/fwupd/oe_test_service_fwupd-offline-update/2023-05-26-19:06:08.log,None
,oe_test_service_fwupd,success,./mugen-riscv/logs/fwupd/oe_test_service_fwupd/2023-05-26-19:10:18.log,None
galera,oe_test_galera_garbd,success,./mugen-riscv/logs/galera/oe_test_galera_garbd/2023-05-26-19:17:29.log,None
,oe_test_service_garbd,success,./mugen-riscv/logs/galera/oe_test_service_garbd/2023-05-26-19:20:49.log,None
geoclue2,oe_test_service_geoclue,success,./mugen-riscv/logs/geoclue2/oe_test_service_geoclue/2023-05-26-20:50:20.log,None
git,oe_test_socket_git,success,./mugen-riscv/logs/git/oe_test_socket_git/2023-05-25-16_45_43.log,None
glibc,oe_test_service_nscd,success,./mugen-riscv/logs/glibc/oe_test_service_nscd/2023-05-25-16_50_21.log,None
,oe_test_socket_nscd,success,./mugen-riscv/logs/glibc/oe_test_socket_nscd/2023-05-25-16_52_40.log,None
glusterfs,oe_test_service_gluster-ta-volume,success,./mugen-riscv/logs/glusterfs/oe_test_service_gluster-ta-volume/2023-05-26-21:14:00.log,None
,oe_test_service_glusterd,success,./mugen-riscv/logs/glusterfs/oe_test_service_glusterd/2023-05-26-21:01:09.log,None
,oe_test_service_glustereventsd,success,./mugen-riscv/logs/glusterfs/oe_test_service_glustereventsd/2023-05-26-21:04:50.log,None
,oe_test_service_glusterfsd,success,./mugen-riscv/logs/glusterfs/oe_test_service_glusterfsd/2023-05-26-21:08:48.log,None
,oe_test_service_glusterfssharedstorage,success,./mugen-riscv/logs/glusterfs/oe_test_service_glusterfssharedstorage/2023-05-26-21:10:38.log,None
gnome-shell,oe_test_gnome-shell,success,./mugen-riscv/logs/gnome-shell/oe_test_gnome-shell/2023-05-26-21:20:27.log,None
gperf,oe_test_gperf_base_01,success,./mugen-riscv/logs/gperf/oe_test_gperf_base_01/2023-05-26-21:46:59.log,None
,oe_test_gperf_base_02,success,./mugen-riscv/logs/gperf/oe_test_gperf_base_02/2023-05-26-21:48:49.log,None
,oe_test_gperf_base_03,success,./mugen-riscv/logs/gperf/oe_test_gperf_base_03/2023-05-26-21:50:21.log,None
,oe_test_gperf_base_04,success,./mugen-riscv/logs/gperf/oe_test_gperf_base_04/2023-05-26-21:51:39.log,None
,oe_test_gperf_base_05,success,./mugen-riscv/logs/gperf/oe_test_gperf_base_05/2023-05-26-21:52:20.log,None
,oe_test_gperf_base_06,success,./mugen-riscv/logs/gperf/oe_test_gperf_base_06/2023-05-26-21:53:01.log,None
,oe_test_gperf_base_07,success,./mugen-riscv/logs/gperf/oe_test_gperf_base_07/2023-05-26-21:53:42.log,None
gpm,oe_test_service_gpm,success,./mugen-riscv/logs/gpm/oe_test_service_gpm/2023-05-26-21:57:02.log,None
gssproxy,oe_test_service_gssproxy,success,./mugen-riscv/logs/gssproxy/oe_test_service_gssproxy/2023-05-26-22:20:50.log,None
haproxy,oe_test_service_haproxy,success,./mugen-riscv/logs/haproxy/oe_test_service_haproxy/2023-05-26-22:26:37.log,None
haveged,oe_test_service_haveged,success,./mugen-riscv/logs/haveged/oe_test_service_haveged/2023-05-26-22:32:30.log,None
help2man,oe_test_help2man,success,./mugen-riscv/logs/help2man/oe_test_help2man/2023-05-26-22:37:56.log,None
hivex,oe_test_hivex_hivexget,success,./mugen-riscv/logs/hivex/oe_test_hivex_hivexget/2023-05-26-22:43:14.log,None
,oe_test_hivex_hivexregedit,success,./mugen-riscv/logs/hivex/oe_test_hivex_hivexregedit/2023-05-26-22:45:00.log,None
,oe_test_hivex_hivexsh_01,success,./mugen-riscv/logs/hivex/oe_test_hivex_hivexsh_01/2023-05-26-22:46:54.log,None
,oe_test_hivex_hivexsh_02,success,./mugen-riscv/logs/hivex/oe_test_hivex_hivexsh_02/2023-05-26-22:48:29.log,None
hsqldb,oe_test_service_hsqldb,success,./mugen-riscv/logs/hsqldb/oe_test_service_hsqldb/2023-05-26-22:52:44.log,None
htslib,oe_test_htslib_bgzip_01,success,./mugen-riscv/logs/htslib/oe_test_htslib_bgzip_01/2023-05-26-23:06:51.log,None
,oe_test_htslib_bgzip_02,success,./mugen-riscv/logs/htslib/oe_test_htslib_bgzip_02/2023-05-26-23:09:00.log,None
,oe_test_htslib_htsfile,success,./mugen-riscv/logs/htslib/oe_test_htslib_htsfile/README.md,None
,oe_test_htslib_tabix,success,./mugen-riscv/logs/htslib/oe_test_htslib_tabix/2023-05-26-23:12:58.log,None
httpd,oe_test_service_htcacheclean,success,./mugen-riscv/logs/httpd/oe_test_service_htcacheclean/2023-05-26-23:17:50.log,None
,oe_test_service_httpd-init,success,./mugen-riscv/logs/httpd/oe_test_service_httpd-init/2023-05-26-23:20:34.log,None
,oe_test_service_httpd,success,./mugen-riscv/logs/httpd/oe_test_service_httpd/2023-05-26-23:22:54.log,None
,oe_test_socket_httpd,success,./mugen-riscv/logs/httpd/oe_test_socket_httpd/2023-05-26-23:26:14.log,None
initial-setup,oe_test_service_initial-setup-reconfiguration,success,./mugen-riscv/logs/initial-setup/oe_test_service_initial-setup-reconfiguration/2023-05-27-00:47:13.log,None
intltool,oe_test_intltool_intltool-extract,success,./mugen-riscv/logs/intltool/oe_test_intltool_intltool-extract/2023-05-27-01:18:58.log,None
,oe_test_intltool_intltool-merge_01,success,./mugen-riscv/logs/intltool/oe_test_intltool_intltool-merge_01/2023-05-27-01:11:47.log,None
,oe_test_intltool_intltool-merge_02,success,./mugen-riscv/logs/intltool/oe_test_intltool_intltool-merge_02/2023-05-27-01:14:06.log,None
,oe_test_intltool_intltool-prepare,success,./mugen-riscv/logs/intltool/oe_test_intltool_intltool-prepare/2023-05-27-01:23:58.log,None
,oe_test_intltool_intltool-update,success,./mugen-riscv/logs/intltool/oe_test_intltool_intltool-update/2023-05-27-01:16:13.log,None
,oe_test_intltool_intltoolize,success,./mugen-riscv/logs/intltool/oe_test_intltool_intltoolize/2023-05-27-01:25:51.log,None
libcap,oe_test_acl_allow_change_nochange,success,./mugen-riscv/logs/libcap/oe_test_acl_allow_change_nochange/2023-05-25-17_14_25.log,None
,oe_test_acl_allow_change_ownership,success,./mugen-riscv/logs/libcap/oe_test_acl_allow_change_ownership/2023-05-25-17_13_53.log,None
,oe_test_acl_bind_port,success,./mugen-riscv/logs/libcap/oe_test_acl_bind_port/2023-05-25-17_16_15.log,None
,oe_test_acl_ignore_dal_across,success,./mugen-riscv/logs/libcap/oe_test_acl_ignore_dal_across/2023-05-25-17_13_03.log,None
,oe_test_acl_manage_net,success,./mugen-riscv/logs/libcap/oe_test_acl_manage_net/2023-05-25-17_18_08.log,None
,oe_test_acl_ordinary_users_setgid,success,./mugen-riscv/logs/libcap/oe_test_acl_ordinary_users_setgid/2023-05-25-17_15_39.log,None
,oe_test_acl_send_kill_notbelong,success,./mugen-riscv/logs/libcap/oe_test_acl_send_kill_notbelong/2023-05-25-17_15_05.log,None
,oe_test_acl_verwrite_previous_rules,success,./mugen-riscv/logs/libcap/oe_test_acl_verwrite_previous_rules/2023-05-25-17_13_34.log,None
